"Statistic Label","Year","County","Penalty Points Applied","UNIT","VALUE"
"Drivers cumulative penalty points","2022","Galway","1 penalty point","Number","126"
"Drivers cumulative penalty points","2022","Galway","2 penalty points","Number","1420"
"Drivers cumulative penalty points","2022","Galway","3 penalty points","Number","21130"
"Drivers cumulative penalty points","2022","Galway","4 penalty points","Number","339"
"Drivers cumulative penalty points","2022","Galway","5 penalty points","Number","1747"
"Drivers cumulative penalty points","2022","Galway","6 penalty points","Number","3290"
"Drivers cumulative penalty points","2022","Galway","7 penalty points","Number","50"
"Drivers cumulative penalty points","2022","Galway","8 penalty points","Number","197"
"Drivers cumulative penalty points","2022","Galway","9 penalty points","Number","502"
"Drivers cumulative penalty points","2022","Galway","10 penalty points","Number","79"
"Drivers cumulative penalty points","2022","Galway","11 penalty points","Number","57"
"Drivers cumulative penalty points","2022","Galway","12 penalty points","Number","61"
"Drivers cumulative penalty points","2022","Kerry","Total penalty points","Number","14567"
"Drivers cumulative penalty points","2022","Kerry","1 penalty point","Number","49"
"Drivers cumulative penalty points","2022","Kerry","2 penalty points","Number","841"
"Drivers cumulative penalty points","2022","Kerry","3 penalty points","Number","10548"
"Drivers cumulative penalty points","2022","Kerry","4 penalty points","Number","174"
"Drivers cumulative penalty points","2022","Kerry","5 penalty points","Number","943"
"Drivers cumulative penalty points","2022","Kerry","6 penalty points","Number","1582"
"Drivers cumulative penalty points","2022","Kerry","7 penalty points","Number","24"
"Drivers cumulative penalty points","2022","Kerry","8 penalty points","Number","101"
"Drivers cumulative penalty points","2022","Kerry","9 penalty points","Number","194"
"Drivers cumulative penalty points","2022","Kerry","10 penalty points","Number","49"
"Drivers cumulative penalty points","2022","Kerry","11 penalty points","Number","34"
"Drivers cumulative penalty points","2022","Kerry","12 penalty points","Number","28"
"Drivers cumulative penalty points","2022","Kildare","Total penalty points","Number","26729"
"Drivers cumulative penalty points","2022","Kildare","1 penalty point","Number","108"
"Drivers cumulative penalty points","2022","Kildare","2 penalty points","Number","1974"
"Drivers cumulative penalty points","2022","Kildare","3 penalty points","Number","18493"
"Drivers cumulative penalty points","2022","Kildare","4 penalty points","Number","367"
"Drivers cumulative penalty points","2022","Kildare","5 penalty points","Number","1537"
"Drivers cumulative penalty points","2022","Kildare","6 penalty points","Number","3262"
"Drivers cumulative penalty points","2022","Kildare","7 penalty points","Number","46"
"Drivers cumulative penalty points","2022","Kildare","8 penalty points","Number","209"
"Drivers cumulative penalty points","2022","Kildare","9 penalty points","Number","548"
"Drivers cumulative penalty points","2022","Kildare","10 penalty points","Number","76"
"Drivers cumulative penalty points","2022","Kildare","11 penalty points","Number","61"
"Drivers cumulative penalty points","2022","Kildare","12 penalty points","Number","48"
"Drivers cumulative penalty points","2022","Kilkenny","Total penalty points","Number","9540"
"Drivers cumulative penalty points","2022","Kilkenny","1 penalty point","Number","26"
"Drivers cumulative penalty points","2022","Kilkenny","2 penalty points","Number","778"
"Drivers cumulative penalty points","2022","Kilkenny","3 penalty points","Number","6744"
"Drivers cumulative penalty points","2022","Kilkenny","4 penalty points","Number","130"
"Drivers cumulative penalty points","2022","Kilkenny","5 penalty points","Number","486"
